code	orthography	IPA
pwty	Que no porta la caputxa la crítica?	ke no ˈpɔɾta la kaˈput͡ʃa la ˈkɾitika
twky	Que no porta el passaport el copista?	ke no ˈpɔɾtal pasaˈpɔɾt el koˈpista
twpy	Que no ocupa la càtedra el copista?	ke no:ˈkupa la ˈkateð̞ɾal koˈpista
twty	Que no porta la caputxa el copista?	ke no ˈpɔɾta la kaˈput͡ʃal koˈpista
bwky	Que no porta el passaport la crítica protestant?	ke no ˈpɔɾtal pasaˈpɔɾt la ˈkɾitika pɾotesˈtant
bwpy	Que no ocupa la càtedra la crítica protestant?	ke no:ˈkupa la ˈkateð̞ɾa la ˈkɾitika pɾotesˈtant
bwty	Que no porta la caputxa la crítica protestant?	ke no ˈpɔɾta la kaˈput͡ʃa la ˈkɾitika pɾotesˈtant
dwky	Que no porta el passaport el copista protestant?	ke no ˈpɔɾtal pasaˈpɔɾt el koˈpista pɾotesˈtant
dwpy	Que no ocupa la càtedra el copista protestant?	ke no:ˈkupa la ˈkateð̞ɾal koˈpista pɾotesˈtant
dwty	Que no porta la caputxa el copista protestant?	ke no ˈpɔɾta la kaˈput͡ʃal koˈpista pɾotesˈtant
fwky	Que no porta el passaport la crítica tanoca?	ke no ˈpɔɾtal pasaˈpɔɾt la ˈkɾitika taˈnɔka
fwpy	Que no ocupa la càtedra la crítica tanoca?	ke no:ˈkupa la ˈkateð̞ɾa la ˈkɾitika taˈnɔka
fwty	Que no porta la caputxa la crítica tanoca?	ke no ˈpɔɾta la kaˈput͡ʃa la ˈkɾitika taˈnɔka
gwky	Que no porta el passaport el capità protestant?	ke no ˈpɔɾtal pasaˈpɔɾt el kapiˈta pɾotesˈtant
gwpy	Que no ocupa la càtedra el capità protestant?	ke no:ˈkupa la ˈkateð̞ɾal kapiˈta pɾotesˈtant
gwty	Que no porta la caputxa el capità protestant?	ke no ˈpɔɾta la kaˈput͡ʃal kapiˈta pɾotesˈtant
jwky	Que no porta el passaport el capità sòcrates?	ke no ˈpɔɾtal pasaˈpɔɾt el kapiˈta ˈsɔkɾates
jwpy	Que no ocupa la càtedra el capità sòcrates?	ke no:ˈkupa la ˈkateð̞ɾal kapiˈta ˈsɔkɾates
jwty	Que no porta la caputxa el capità sòcrates?	ke no ˈpɔɾta la kaˈput͡ʃal kapiˈta ˈsɔkɾates
swky	Que no porta el passaport el copista intrèpid?	ke no ˈpɔɾtal pasaˈpɔɾt el koˈpista inˈtɾɛpit
swpy	Que no ocupa la càtedra el copista intrèpid?	ke no:ˈkupa la ˈkateð̞ɾal koˈpista inˈtɾɛpit
swty	Que no porta la caputxa el copista intrèpid?	ke no ˈpɔɾta la kaˈput͡ʃal koˈpista inˈtɾɛpit
vwky	Que no porta el passaport la crítica pràctica?	ke no ˈpɔɾtal pasaˈpɔɾt la ˈkɾitika ˈpɾaktika
vwpy	Que no ocupa la càtedra la crítica pràctica?	ke no:ˈkupa la ˈkateð̞ɾa la ˈkɾitika ˈpɾaktika
vwty	Que no porta la caputxa la crítica pràctica?	ke no ˈpɔɾta la kaˈput͡ʃa la ˈkɾitika ˈpɾaktika
xwky	Que no porta el passaport el capità intrèpid?	ke no ˈpɔɾtal pasaˈpɔɾt el kapiˈta inˈtɾɛpit
xwpy	Que no ocupa la càtedra el capità intrèpid?	ke no:ˈkupa la ˈkateð̞ɾal kapiˈta inˈtɾɛpit
xwty	Que no porta la caputxa el capità intrèpid?	ke no ˈpɔɾta la kaˈput͡ʃal kapiˈta inˈtɾɛpit
zwky	Que no porta el passaport el copista sòcrates?	ke no ˈpɔɾtal pasaˈpɔɾt el koˈpista ˈsɔkɾates
zwpy	Que no ocupa la càtedra el copista sòcrates?	ke no:ˈkupa la ˈkateð̞ɾal koˈpista ˈsɔkɾates
zwty	Que no porta la caputxa el copista sòcrates?	ke no ˈpɔɾta la kaˈput͡ʃal koˈpista ˈsɔkɾates
kwby	Que no ocupa la càtedra contricant el capità?	ke no:ˈkupa la ˈkateð̞ɾa contricant el kapiˈta
kwdy	Que no porta la caputxa llampegant el capità?	ke no ˈpɔɾta la kaˈput͡ʃa ʎampeˈgant el kapiˈta
kwfy	Que no ocupa la càtedra completa el capità?	ke no:ˈkupa la ˈkateð̞ɾa komˈpletal kapiˈta
kwgy	Que no porta el passaport pintoresc el capità?	ke no ˈpɔɾtal pasaˈpɔɾt pintoˈɾɛsk el kapiˈta
kwjy	Que no porta el passaport amb pràctica el capità?	ke no ˈpɔɾtal pasaˈpɔɾt amb ˈpɾaktikal kapiˈta
kwsy	Que no porta la caputxa petita el capità?	ke no ˈpɔɾta la kaˈput͡ʃa peˈtital kapiˈta
kwvy	Que no ocupa la càtedra tipica el capità?	ke no:ˈkupa la ˈkateð̞ɾa tipical kapiˈta
kwxy	Que no porta el passaport propici el capità?	ke no ˈpɔɾtal pasaˈpɔɾt pɾoˈpisi el kapiˈta
kwzy	Que no porta la caputxa pràctica el capità?	ke no ˈpɔɾta la kaˈput͡ʃa ˈpɾaktikal kapiˈta
pwby	Que no ocupa la càtedra contrincant la crítica?	ke no:ˈkupa la ˈkateð̞ɾa kontɾiŋˈkant la ˈkɾitika
pwdy	Que no porta la caputxa llampegant la crítica?	ke no ˈpɔɾta la kaˈput͡ʃa ʎampeˈgant la ˈkɾitika
pwfy	Que no ocupa la càtedra completa la crítica?	ke no:ˈkupa la ˈkateð̞ɾa komˈpleta la ˈkɾitika
pwgy	Que no porta el passaport pintoresc la crítica?	ke no ˈpɔɾtal pasaˈpɔɾt pintoˈɾɛsk la ˈkɾitika
pwjy	Que no porta el passaport amb pràctica la crítica?	ke no ˈpɔɾtal pasaˈpɔɾt amb ˈpɾaktika la ˈkɾitika
pwsy	Que no porta la caputxa petita la crítica?	ke no ˈpɔɾta la kaˈput͡ʃa peˈtita la ˈkɾitika
pwvy	Que no ocupa la càtedra típica la crítica?	ke no:ˈkupa la ˈkateð̞ɾa ˈtipika la ˈkɾitika
pwxy	Que no porta el passaport propici la crítica?	ke no ˈpɔɾtal pasaˈpɔɾt pɾoˈpisi la ˈkɾitika
pwzy	Que no porta la caputxa pràctica la crítica?	ke no ˈpɔɾta la kaˈput͡ʃa ˈpɾaktika la ˈkɾitika
twby	Que no ocupa la càtedra contrincant el copista?	ke no:ˈkupa la ˈkateð̞ɾa kontɾiŋˈkant el koˈpista
twdy	Que no porta la caputxa llampegant el copista?	ke no ˈpɔɾta la kaˈput͡ʃa ʎampeˈgant el koˈpista
twfy	Que no ocupa la càtedra completa el copista?	ke no:ˈkupa la ˈkateð̞ɾa komˈpletal koˈpista
twgy	Que no porta el passaport pintoresc el copista?	ke no ˈpɔɾtal pasaˈpɔɾt pintoˈɾɛsk el koˈpista
twjy	Que no porta el passaport amb pràctica el copista?	ke no ˈpɔɾtal pasaˈpɔɾt amb ˈpɾaktikal koˈpista
twsy	Que no porta la caputxa petita el copista?	ke no ˈpɔɾta la kaˈput͡ʃa peˈtital koˈpista
twvy	Que no ocupa la càtedra típica el copista?	ke no:ˈkupa la ˈkateð̞ɾa ˈtipikal koˈpista
twxy	Que no porta el passaport propici el copista?	ke no ˈpɔɾtal pasaˈpɔɾt pɾoˈpisi el koˈpista
twzy	Que no porta la caputxa pràctica el copista?	ke no ˈpɔɾta la kaˈput͡ʃa ˈpɾaktikal koˈpista
