code	orthography	IPA
kwvn	El capità no ocupa la càtedra típica	əl kəpiˈta nou̯ˈkupə lə ˈkatəð̞ɾə ˈtipikə
kwxn	El capità no porta el passaport propici	əl kəpiˈta no ˈpɔrtəl pəsəˈpɔr pɾuˈpisi
kwzn	El capità no porta la caputxa pràctica	əl kəpiˈta no ˈpɔrtə lə kəˈput͡ʃə ˈpɾaktikə
pwbn	La crítica no ocupa la càtedra contrincant	lə ˈkɾitikə nou̯ˈkupə lə ˈkatəð̞ɾə kuntɾiŋˈkan
pwdn	La crítica no porta la caputxa llampegant	lə ˈkɾitikə no ˈpɔrtə lə kəˈput͡ʃə ʎəmpəˈɣ ̞an
pwfn	La crítica no ocupa la càtedra completa	lə ˈkɾitikə nou̯ˈkupə lə ˈkatəð̞ɾə kumˈplɛtə
pwgn	La crítica no porta el passaport pintoresc	lə ˈkɾitikə no ˈpɔrtəl pəsəˈpɔr pintuˈɾɛsk
pwjn	La crítica no porta el passaport amb pràctica	lə ˈkɾitikə no ˈpɔrtəl pəsəˈpɔr əm ˈpɾaktikə
pwsn	La crítica no porta la caputxa petita	lə ˈkɾitikə no ˈpɔrtə lə kəˈput͡ʃə pəˈtitə
pwvn	La crítica no ocupa la càtedra típica	lə ˈkɾitikə nou̯ˈkupə lə ˈkatəð̞ɾə ˈtipikə
pwxn	La crítica no porta el passaport propici	lə ˈkɾitikə no ˈpɔrtəl pəsəˈpɔr pɾuˈpisi
pwzn	La crítica no porta la caputxa pràctica	lə ˈkɾitikə no ˈpɔrtə lə kəˈput͡ʃə ˈpɾaktikə
twbn	El copista no ocupa la càtedra contrincant	əl kuˈpistə nou̯ˈkupə lə ˈkatəð̞ɾə kuntɾiŋˈkan
twdn	El copista no porta la caputxa llampegant	əl kuˈpistə no ˈpɔrtə lə kəˈput͡ʃə ʎəmpəˈɣ ̞an
twfn	El copista no ocupa la càtedra completa	əl kuˈpistə nou̯ˈkupə lə ˈkatəð̞ɾə kumˈplɛtə
twgn	El copista no porta el passaport pintoresc	əl kuˈpistə no ˈpɔrtəl pəsəˈpɔr pintuˈɾɛsk
twjn	El copista no porta el passaport amb pràctica	əl kuˈpistə no ˈpɔrtəl pəsəˈpɔr əm ˈpɾaktikə
twsn	El copista no porta la caputxa petita	əl kuˈpistə no ˈpɔrtə lə kəˈput͡ʃə pəˈtitə
twvn	El copista no ocupa la càtedra típica	əl kuˈpistə nou̯ˈkupə lə ˈkatəð̞ɾə ˈtipikə
twxn	El copista no porta el passaport propici	əl kuˈpistə no ˈpɔrtəl pəsəˈpɔr pɾuˈpisi
twzn	El copista no porta la caputxa pràctica	əl kuˈpistə no ˈpɔrtə lə kəˈput͡ʃə ˈpɾaktikə
kwtm	El capità no porta la caputxa?	əl kəpiˈta no ˈpɔrtə lə kəˈput͡ʃə
pwtm	La crítica no porta la caputxa?	lə ˈkɾitikə no ˈpɔrtə lə kəˈput͡ʃə
twtm	El copista no porta la caputxa?	əl kuˈpistə no ˈpɔrtə lə kəˈput͡ʃə
kwpm	El capità no ocupa la càtedra?	əl kəpiˈta nou̯ˈkupə lə ˈkatəð̞ɾə
pwpm	La crítica no ocupa la càtedra?	lə ˈkɾitikə nou̯ˈkupə lə ˈkatəð̞ɾə
twpm	El copista no ocupa la càtedra?	əl kuˈpistə nou̯ˈkupə lə ˈkatəð̞ɾə
kwkm	El capità no porta el passaport?	əl kəpiˈta no ˈpɔrtəl pəsəˈpɔr
pwkm	La crítica no porta el passaport?	lə ˈkɾitikə no ˈpɔrtəl pəsəˈpɔr
twkm	El copista no porta el passaport?	əl kuˈpistə no ˈpɔrtəl pəsəˈpɔr
bwkm	La crítica protestant no porta el passaport?	lə ˈkɾitikə pɾutəsˈtan no ˈpɔrtəl pəsəˈpɔr
bwpm	La crítica protestant no ocupa la càtedra?	lə ˈkɾitikə pɾutəsˈtan nou̯ˈkupə lə ˈkatəð̞ɾə
bwtm	La crítica protestant no porta la caputxa?	lə ˈkɾitikə pɾutəsˈtan no ˈpɔrtə lə kəˈput͡ʃə
dwkm	El copista protestant no porta el passaport?	əl kuˈpistə pɾutəsˈtan no ˈpɔrtəl pəsəˈpɔr
dwpm	El copista protestant no ocupa la càtedra?	əl kuˈpistə pɾutəsˈtan nou̯ˈkupə lə ˈkatəð̞ɾə
dwtm	El copista protestant no porta la caputxa?	əl kuˈpistə pɾutəsˈtan no ˈpɔrtə lə kəˈput͡ʃə
fwkm	La crítica tanoca no porta el passaport?	lə ˈkɾitikə təˈnɔkə no ˈpɔrtəl pəsəˈpɔr
fwpm	La crítica tanoca no ocupa la càtedra?	lə ˈkɾitikə təˈnɔkə nou̯ˈkupə lə ˈkatəð̞ɾə
fwtm	La crítica tanoca no porta la caputxa?	lə ˈkɾitikə təˈnɔkə no ˈpɔrtə lə kəˈput͡ʃə
gwkm	El capità protestant no porta el passaport?	əl kəpiˈta pɾutəsˈtan no ˈpɔrtəl pəsəˈpɔr
gwpm	El capità protestant no ocupa la càtedra?	əl kəpiˈta pɾutəsˈtan nou̯ˈkupə lə ˈkatəð̞ɾə
gwtm	El capità protestant no porta la caputxa?	əl kəpiˈta pɾutəsˈtan no ˈpɔrtə lə kəˈput͡ʃə
jwkm	El capità sòcrates no porta el passaport?	əl kəpiˈta ˈsɔkɾətəs no ˈpɔrtəl pəsəˈpɔr
jwpm	El capità sòcrates no ocupa la càtedra?	əl kəpiˈta ˈsɔkɾətəs nou̯ˈkupə lə ˈkatəð̞ɾə
jwtm	El capità sòcrates no porta la caputxa?	əl kəpiˈta ˈsɔkɾətəs no ˈpɔrtə lə kəˈput͡ʃə
swkm	El copista intrèpid no porta el passaport?	əl kuˈpistəi̯nˈtɾɛpit no ˈpɔrtəl pəsəˈpɔr
swpm	El copista intrèpid no ocupa la càtedra?	əl kuˈpistəi̯nˈtɾɛpit nou̯ˈkupə lə ˈkatəð̞ɾə
swtm	El copista intrèpid no porta la caputxa?	əl kuˈpistəi̯nˈtɾɛpit no ˈpɔrtə lə kəˈput͡ʃə
vwkm	La crítica pràctica no porta el passaport?	lə ˈkɾitikə ˈpɾaktikə no ˈpɔrtəl pəsəˈpɔr
vwpm	La crítica pràctica no ocupa la càtedra?	lə ˈkɾitikə ˈpɾaktikə nou̯ˈkupə lə ˈkatəð̞ɾə
vwtm	La crítica pràctica no porta la caputxa?	lə ˈkɾitikə ˈpɾaktikə no ˈpɔrtə lə kəˈput͡ʃə
xwkm	El capità intrèpid no porta el passaport?	əl kəpiˈtai̯nˈtɾɛpit no ˈpɔrtəl pəsəˈpɔr
xwpm	El capità intrèpid no ocupa la càtedra?	əl kəpiˈtai̯nˈtɾɛpit nou̯ˈkupə lə ˈkatəð̞ɾə
xwtm	El capità intrèpid no porta la caputxa?	əl kəpiˈtai̯nˈtɾɛpit no ˈpɔrtə lə kəˈput͡ʃə
zwkm	El copista sòcrates no porta el passaport?	əl kuˈpistə ˈsɔkɾətəs no ˈpɔrtəl pəsəˈpɔr
zwpm	El copista sòcrates no ocupa la càtedra?	əl kuˈpistə ˈsɔkɾətəs nou̯ˈkupə lə ˈkatəð̞ɾə
zwtm	El copista sòcrates no porta la caputxa?	əl kuˈpistə ˈsɔkɾətəs no ˈpɔrtə lə kəˈput͡ʃə
kwbm	El capità no ocupa la càtedra contrincant?	əl kəpiˈta nou̯ˈkupə lə ˈkatəð̞ɾə kuntɾiŋˈkan
kwdm	El capità no porta la caputxa llampegant?	əl kəpiˈta no ˈpɔrtə lə kəˈput͡ʃə ʎəmpəˈɣ ̞an
kwfm	El capità no ocupa la càtedra completa?	əl kəpiˈta nou̯ˈkupə lə ˈkatəð̞ɾə kumˈplɛtə
kwgm	El capità no porta el passaport pintoresc?	əl kəpiˈta no ˈpɔrtəl pəsəˈpɔr pintuˈɾɛsk
kwjm	El capità no porta el passaport amb pràctica?	əl kəpiˈta no ˈpɔrtəl pəsəˈpɔr əm ˈpɾaktikə
kwsm	El capità no porta la caputxa petita?	əl kəpiˈta no ˈpɔrtə lə kəˈput͡ʃə pəˈtitə
kwvm	El capità no ocupa la càtedra típica?	əl kəpiˈta nou̯ˈkupə lə ˈkatəð̞ɾə ˈtipikə
kwxm	El capità no porta el passaport propici?	əl kəpiˈta no ˈpɔrtəl pəsəˈpɔr pɾuˈpisi
kwzm	El capità no porta la caputxa pràctica?	əl kəpiˈta no ˈpɔrtə lə kəˈput͡ʃə ˈpɾaktikə
pwbm	La crítica no ocupa la càtedra contrincant?	lə ˈkɾitikə nou̯ˈkupə lə ˈkatəð̞ɾə kuntɾiŋˈkan
pwdm	La crítica no porta la caputxa llampegant?	lə ˈkɾitikə no ˈpɔrtə lə kəˈput͡ʃə ʎəmpəˈɣ ̞an
pwfm	La crítica no ocupa la càtedra completa?	lə ˈkɾitikə nou̯ˈkupə lə ˈkatəð̞ɾə kumˈplɛtə
pwgm	La crítica no porta el passaport pintoresc?	lə ˈkɾitikə no ˈpɔrtəl pəsəˈpɔr pintuˈɾɛsk
pwjm	La crítica no porta el passaport amb pràctica?	lə ˈkɾitikə no ˈpɔrtəl pəsəˈpɔr əm ˈpɾaktikə
pwsm	La crítica no porta la caputxa petita?	lə ˈkɾitikə no ˈpɔrtə lə kəˈput͡ʃə pəˈtitə
pwvm	La crítica no ocupa la càtedra típica?	lə ˈkɾitikə nou̯ˈkupə lə ˈkatəð̞ɾə ˈtipikə
pwxm	La crítica no porta el passaport propici?	lə ˈkɾitikə no ˈpɔrtəl pəsəˈpɔr pɾuˈpisi
pwzm	La crítica no porta la caputxa pràctica?	lə ˈkɾitikə no ˈpɔrtə lə kəˈput͡ʃə ˈpɾaktikə
twbm	El copista no ocupa la càtedra contrincant?	əl kuˈpistə nou̯ˈkupə lə ˈkatəð̞ɾə kuntɾiŋˈkan
twdm	El copista no porta la caputxa llampegant?	əl kuˈpistə no ˈpɔrtə lə kəˈput͡ʃə ʎəmpəˈɣ ̞an
twfm	El copista no ocupa la càtedra completa?	əl kuˈpistə nou̯ˈkupə lə ˈkatəð̞ɾə kumˈplɛtə
twgm	El copista no porta el passaport pintoresc?	əl kuˈpistə no ˈpɔrtəl pəsəˈpɔr pintuˈɾɛsk
twjm	El copista no porta el passaport amb pràctica?	əl kuˈpistə no ˈpɔrtəl pəsəˈpɔr əm ˈpɾaktikə
twsm	El copista no porta la caputxa petita?	əl kuˈpistə no ˈpɔrtə lə kəˈput͡ʃə pəˈtitə
twvm	El copista no ocupa la càtedra típica?	əl kuˈpistə nou̯ˈkupə lə ˈkatəð̞ɾə ˈtipikə
twxm	El copista no porta el passaport propici?	əl kuˈpistə no ˈpɔrtəl pəsəˈpɔr pɾuˈpisi
twzm	El copista no porta la caputxa pràctica?	əl kuˈpistə no ˈpɔrtə lə kəˈput͡ʃə ˈpɾaktikə
kwky	Que no porta el passaport el capità?	ke no ˈpɔrtəl pəsəˈpɔr əl kəpiˈta 
kwpy	Que no ocupa la càtedra el capità?	ke nou̯ˈkupə lə ˈkatəð̞ɾəl kəpiˈta 
kwty	Que no porta la caputxa el capità?	ke no ˈpɔrtə lə kəˈput͡ʃəl kəpiˈta 
pwky	Que no porta el passaport la crítica?	ke no ˈpɔrtəl pəsəˈpɔr lə ˈkɾitikə
pwpy	Que no ocupa la càtedra la crítica?	ke nou̯ˈkupə lə ˈkatəð̞ɾə lə ˈkɾitikə
pwty	Que no porta la caputxa la crítica?	ke no ˈpɔrtə lə kəˈput͡ʃə lə ˈkɾitikə
twky	Que no porta el passaport el copista?	ke no ˈpɔrtəl pəsəˈpɔr əl kuˈpistə
twpy	Que no ocupa la càtedra el copista?	ke nou̯ˈkupə lə ˈkatəð̞ɾəl kuˈpistə
twty	Que no porta la caputxa el copista?	ke no ˈpɔrtə lə kəˈput͡ʃəl kuˈpistə
bwky	Que no porta el passaport la crítica protestant?	ke no ˈpɔrtəl pəsəˈpɔr lə ˈkɾitikə pɾutəsˈtan
bwpy	Que no ocupa la càtedra la crítica protestant?	ke nou̯ˈkupə lə ˈkatəð̞ɾə lə ˈkɾitikə pɾutəsˈtan
bwty	Que no porta la caputxa la crítica protestant?	ke no ˈpɔrtə lə kəˈput͡ʃə lə ˈkɾitikə pɾutəsˈtan
dwky	Que no porta el passaport el copista protestant?	ke no ˈpɔrtəl pəsəˈpɔr əl kuˈpistə pɾutəsˈtan
dwpy	Que no ocupa la càtedra el copista protestant?	ke nou̯ˈkupə lə ˈkatəð̞ɾəl kuˈpistə pɾutəsˈtan
dwty	Que no porta la caputxa el copista protestant?	ke no ˈpɔrtə lə kəˈput͡ʃəl kuˈpistə pɾutəsˈtan
fwky	Que no porta el passaport la crítica tanoca?	ke no ˈpɔrtəl pəsəˈpɔr lə ˈkɾitikə təˈnɔkə
fwpy	Que no ocupa la càtedra la crítica tanoca?	ke nou̯ˈkupə lə ˈkatəð̞ɾə lə ˈkɾitikə təˈnɔkə
fwty	Que no porta la caputxa la crítica tanoca?	ke no ˈpɔrtə lə kəˈput͡ʃə lə ˈkɾitikə təˈnɔkə
gwky	Que no porta el passaport el capità protestant?	ke no ˈpɔrtəl pəsəˈpɔr əl kəpiˈta pɾutəsˈtan
gwpy	Que no ocupa la càtedra el capità protestant?	ke nou̯ˈkupə lə ˈkatəð̞ɾəl kəpiˈta pɾutəsˈtan
gwty	Que no porta la caputxa el capità protestant?	ke no ˈpɔrtə lə kəˈput͡ʃəl kəpiˈta pɾutəsˈtan
jwky	Que no porta el passaport el capità sòcrates?	ke no ˈpɔrtəl pəsəˈpɔr əl kəpiˈta ˈsɔkɾətəs
jwpy	Que no ocupa la càtedra el capità sòcrates?	ke nou̯ˈkupə lə ˈkatəð̞ɾəl kəpiˈta ˈsɔkɾətəs
jwty	Que no porta la caputxa el capità sòcrates?	ke no ˈpɔrtə lə kəˈput͡ʃəl kəpiˈta ˈsɔkɾətəs
swky	Que no porta el passaport el copista intrèpid?	ke no ˈpɔrtəl pəsəˈpɔr əl kuˈpistəi̯nˈtɾɛpit
swpy	Que no ocupa la càtedra el copista intrèpid?	ke nou̯ˈkupə lə ˈkatəð̞ɾəl kuˈpistəi̯nˈtɾɛpit
swty	Que no porta la caputxa el copista intrèpid?	ke no ˈpɔrtə lə kəˈput͡ʃəl kuˈpistəi̯nˈtɾɛpit
vwky	Que no porta el passaport la crítica pràctica?	ke no ˈpɔrtəl pəsəˈpɔr lə ˈkɾitikə ˈpɾaktikə
vwpy	Que no ocupa la càtedra la crítica pràctica?	ke nou̯ˈkupə lə ˈkatəð̞ɾə lə ˈkɾitikə ˈpɾaktikə
vwty	Que no porta la caputxa la crítica pràctica?	ke no ˈpɔrtə lə kəˈput͡ʃə lə ˈkɾitikə ˈpɾaktikə
xwky	Que no porta el passaport el capità intrèpid?	ke no ˈpɔrtəl pəsəˈpɔr əl kəpiˈtai̯nˈtɾɛpit
xwpy	Que no ocupa la càtedra el capità intrèpid?	ke nou̯ˈkupə lə ˈkatəð̞ɾəl kəpiˈtai̯nˈtɾɛpit
xwty	Que no porta la caputxa el capità intrèpid?	ke no ˈpɔrtə lə kəˈput͡ʃəl kəpiˈtai̯nˈtɾɛpit
zwky	Que no porta el passaport el copista sòcrates?	ke no ˈpɔrtəl pəsəˈpɔr əl kuˈpistə ˈsɔkɾətəs
zwpy	Que no ocupa la càtedra el copista sòcrates?	ke nou̯ˈkupə lə ˈkatəð̞ɾəl kuˈpistə ˈsɔkɾətəs
zwty	Que no porta la caputxa el copista sòcrates?	ke no ˈpɔrtə lə kəˈput͡ʃəl kuˈpistə ˈsɔkɾətəs
kwby	Que no ocupa la càtedra contricant el capità?	ke nou̯ˈkupə lə ˈkatəð̞ɾə kuntɾiŋˈkan əl kəpiˈta 
kwdy	Que no porta la caputxa llampegant el capità?	ke no ˈpɔrtə lə kəˈput͡ʃə ʎəmpəˈɣ ̞an əl kəpiˈta 
kwfy	Que no ocupa la càtedra completa el capità?	ke nou̯ˈkupə lə ˈkatəð̞ɾə kumˈplɛtəl kəpiˈta 
kwgy	Que no porta el passaport pintoresc el capità?	ke no ˈpɔrtəl pəsəˈpɔr pintuˈɾɛsk əl kəpiˈta 
kwjy	Que no porta el passaport amb pràctica el capità?	ke no ˈpɔrtəl pəsəˈpɔr əm ˈpɾaktikəl kəpiˈta 
kwsy	Que no porta la caputxa petita el capità?	ke no ˈpɔrtə lə kəˈput͡ʃə pəˈtitəl kəpiˈta 
kwvy	Que no ocupa la càtedra tipica el capità?	ke nou̯ˈkupə lə ˈkatəð̞ɾə ˈtipikəl kəpiˈta 
kwxy	Que no porta el passaport propici el capità?	ke no ˈpɔrtəl pəsəˈpɔr pɾuˈpisil kəpiˈta 
kwzy	Que no porta la caputxa pràctica el capità?	ke no ˈpɔrtə lə kəˈput͡ʃə ˈpɾaktikəl kəpiˈta 
pwby	Que no ocupa la càtedra contrincant la crítica?	ke nou̯ˈkupə lə ˈkatəð̞ɾə kuntɾiŋˈkan lə ˈkɾitikə
pwdy	Que no porta la caputxa llampegant la crítica?	ke no ˈpɔrtə lə kəˈput͡ʃə ʎəmpəˈɣ ̞an lə ˈkɾitikə
pwfy	Que no ocupa la càtedra completa la crítica?	ke nou̯ˈkupə lə ˈkatəð̞ɾə kumˈplɛtə lə ˈkɾitikə
pwgy	Que no porta el passaport pintoresc la crítica?	ke no ˈpɔrtəl pəsəˈpɔr pintuˈɾɛsk lə ˈkɾitikə
pwjy	Que no porta el passaport amb pràctica la crítica?	ke no ˈpɔrtəl pəsəˈpɔr əm ˈpɾaktikə lə ˈkɾitikə
pwsy	Que no porta la caputxa petita la crítica?	ke no ˈpɔrtə lə kəˈput͡ʃə pəˈtitə lə ˈkɾitikə
pwvy	Que no ocupa la càtedra típica la crítica?	ke nou̯ˈkupə lə ˈkatəð̞ɾə ˈtipikə lə ˈkɾitikə
pwxy	Que no porta el passaport propici la crítica?	ke no ˈpɔrtəl pəsəˈpɔr pɾuˈpisi lə ˈkɾitikə
pwzy	Que no porta la caputxa pràctica la crítica?	ke no ˈpɔrtə lə kəˈput͡ʃə ˈpɾaktikə lə ˈkɾitikə
twby	Que no ocupa la càtedra contrincant el copista?	ke nou̯ˈkupə lə ˈkatəð̞ɾə kuntɾiŋˈkan əl kuˈpistə
twdy	Que no porta la caputxa llampegant el copista?	ke no ˈpɔrtə lə kəˈput͡ʃə ʎəmpəˈɣ ̞an əl kuˈpistə
twfy	Que no ocupa la càtedra completa el copista?	ke nou̯ˈkupə lə ˈkatəð̞ɾə kumˈplɛtəl kuˈpistə
twgy	Que no porta el passaport pintoresc el copista?	ke no ˈpɔrtəl pəsəˈpɔr pintuˈɾɛsk əl kuˈpistə
twjy	Que no porta el passaport amb pràctica el copista?	ke no ˈpɔrtəl pəsəˈpɔr əm ˈpɾaktikəl kuˈpistə
twsy	Que no porta la caputxa petita el copista?	ke no ˈpɔrtə lə kəˈput͡ʃə pəˈtitəl kuˈpistə
twvy	Que no ocupa la càtedra típica el copista?	ke nou̯ˈkupə lə ˈkatəð̞ɾə ˈtipikəl kuˈpistə
twxy	Que no porta el passaport propici el copista?	ke no ˈpɔrtəl pəsəˈpɔr pɾuˈpisi əl kuˈpistə
twzy	Que no porta la caputxa pràctica el copista?	ke no ˈpɔrtə lə kəˈput͡ʃə ˈpɾaktikəl kuˈpistə
